start_time, eye_data_get_time, eye_data_pack_time, image_data_get_time, image_process_time, image_data_pack_time, end_time, iterations
1664462561488399829, 1664462561488444071, 1664462561489492657, 1664462561488702091, 1664462561493325085, 1664462561497244364, 1664462561499590831, 157
1664462561500737366, 1664462561500762298, 1664462561501812587, 1664462561501206887, 1664462561504820375, 1664462561507470339, 1664462561508503112, 158
1664462561512871235, 1664462561512885695, 1664462561513262777, 1664462561512911345, 1664462561515154107, 1664462561517131974, 1664462561518011676, 159
1664462561532826307, 1664462561532840056, 1664462561533160637, 1664462561532862544, 1664462561534720506, 1664462561536383235, 1664462561537139048, 160
1664462561553089813, 1664462561553127668, 1664462561554746362, 1664462561554182249, 1664462561558693797, 1664462561562455472, 1664462561564173770, 161
1664462561573032795, 1664462561573061653, 1664462561573685674, 1664462561573111425, 1664462561577216255, 1664462561580901127, 1664462561582390350, 162
1664462561593088774, 1664462561593141334, 1664462561593929986, 1664462561593193091, 1664462561597656616, 1664462561601502759, 1664462561603049618, 163
1664462561613005556, 1664462561613030020, 1664462561614511087, 1664462561614086774, 1664462561617168900, 1664462561619804221, 1664462561620969994, 164
1664462561633271901, 1664462561633328129, 1664462561636467298, 1664462561635822554, 1664462561640181051, 1664462561644659564, 1664462561646460224, 165
1664462561653094493, 1664462561653134715, 1664462561653782095, 1664462561653207177, 1664462561657334392, 1664462561660225257, 1664462561661411984, 166
1664462561672924590, 1664462561672942115, 1664462561678852211, 1664462561678478543, 1664462561680819499, 1664462561682870318, 1664462561683839795, 167
1664462561692903305, 1664462561692922636, 1664462561693272973, 1664462561692949059, 1664462561695487828, 1664462561697560178, 1664462561698482761, 168
1664462561712833103, 1664462561712848483, 1664462561713200942, 1664462561712874530, 1664462561715126597, 1664462561717139730, 1664462561718057753, 169
1664462561732898740, 1664462561732917499, 1664462561733346395, 1664462561732944519, 1664462561735306606, 1664462561737381641, 1664462561738309337, 170
1664462561752942380, 1664462561752956725, 1664462561753281929, 1664462561752980710, 1664462561755142445, 1664462561757107197, 1664462561758020093, 171
1664462561773086999, 1664462561773119458, 1664462561773780860, 1664462561773169846, 1664462561777221547, 1664462561781017414, 1664462561782516870, 172
1664462561793227955, 1664462561793260793, 1664462561793916252, 1664462561793317424, 1664462561797365962, 1664462561801081309, 1664462561802568768, 173
1664462561813000427, 1664462561813027213, 1664462561813583331, 1664462561813071429, 1664462561817212748, 1664462561820945949, 1664462561822558520, 174
1664462561833138031, 1664462561833166382, 1664462561833968558, 1664462561833211787, 1664462561837712660, 1664462561841609235, 1664462561843404940, 175
1664462561852983099, 1664462561853010095, 1664462561853570155, 1664462561853055608, 1664462561857184300, 1664462561860976778, 1664462561862522109, 176
1664462561872986559, 1664462561873015432, 1664462561873625411, 1664462561873062485, 1664462561877329077, 1664462561881546193, 1664462561883379344, 177
1664462561892965675, 1664462561892986675, 1664462561893422536, 1664462561893020008, 1664462561896181491, 1664462561898569736, 1664462561899514512, 178
1664462561912895976, 1664462561912910707, 1664462561913223208, 1664462561912935298, 1664462561915197295, 1664462561917294677, 1664462561918202518, 179
1664462561932917622, 1664462561932935672, 1664462561933285496, 1664462561932961507, 1664462561935166697, 1664462561937304436, 1664462561938236761, 180
1664462561952864804, 1664462561952879596, 1664462561953177190, 1664462561952903021, 1664462561955063544, 1664462561957027334, 1664462561957899632, 181
1664462561972962245, 1664462561972982334, 1664462561973401606, 1664462561973014926, 1664462561975700976, 1664462561978106278, 1664462561979190139, 182
1664462561992943326, 1664462561992966243, 1664462561993439474, 1664462561993006368, 1664462561996720676, 1664462561999967465, 1664462562001311836, 183
1664462562012973270, 1664462562012995438, 1664462562013464390, 1664462562013032826, 1664462562016413417, 1664462562019541153, 1664462562020872534, 184
1664462562033073295, 1664462562033101554, 1664462562033663250, 1664462562033145728, 1664462562037098778, 1664462562040692689, 1664462562042167350, 185
1664462562053040318, 1664462562053070533, 1664462562053708456, 1664462562053114755, 1664462562057569976, 1664462562061435673, 1664462562062897829, 186
1664462562073005597, 1664462562073032428, 1664462562073592355, 1664462562073076158, 1664462562077030396, 1664462562080665899, 1664462562082152391, 187
